citylist,country,lat,lon,temp,temp_max,cloudiness,humidity,windspeed,date
Jamestown,US,42.097,-79.2353,-3.1,-2.78,90,91,8.32,1614967499
Barrow,US,71.2906,-156.7887,-23.0,-23.0,90,64,9.77,1614967500
Tasiilaq,GL,65.6145,-37.6368,4.0,4.0,75,81,5.66,1614968031
Navalcarnero,ES,40.2891,-4.012,13.95,15.0,20,54,2.84,1614968032
Raudeberg,NO,61.9875,5.1352,3.89,3.89,100,94,6.34,1614968032
Kapaa,US,22.0752,-159.319,21.06,21.11,90,78,10.8,1614968033
Novoagansk,RU,61.9449,76.6625,-10.2,-10.2,91,97,2.13,1614968033
Berlevåg,NO,70.8578,29.0864,-7.49,-6.0,20,73,5.66,1614968034
Ilulissat,GL,69.2167,-51.1,-6.0,-6.0,75,86,3.09,1614968034
Jiuquan,CN,39.7432,98.5174,0.77,0.77,50,79,0.69,1614968035
Ulaangom,MN,49.9811,92.0667,-15.49,-15.49,20,84,0.28,1614967929
Bone,DE,51.9669,12.1396,1.88,2.78,12,59,2.04,1614968036
Thompson,CA,55.7435,-97.8558,-9.0,-9.0,90,79,3.6,1614967446
Portland,US,45.5234,-122.6762,8.21,9.44,90,81,4.63,1614967553
Ribeira Grande,PT,38.5167,-28.7,16.0,16.0,20,72,2.57,1614968039
Saskylakh,RU,71.9167,114.0833,-34.44,-34.44,0,83,3.64,1614968039
Kahului,US,20.8947,-156.47,19.04,21.0,40,68,4.63,1614968041
Ingham,US,42.6,-84.3833,2.34,3.0,40,52,4.63,1614968042
Ternate,ID,0.8,127.4,26.98,26.98,94,75,2.14,1614968044
Mountain Home,US,43.133,-115.6912,13.0,13.0,1,33,10.8,1614968044
Ostrovnoy,RU,68.0531,39.5131,-11.26,-11.26,100,93,1.55,1614968044
Narsaq,GL,60.9167,-46.05,2.0,2.0,20,87,3.6,1614968045
Camacha,PT,33.0833,-16.3333,17.0,17.0,20,63,10.8,1614968045
Kloulklubed,PW,7.0419,134.2556,25.0,25.0,75,83,2.06,1614968045
Yellowknife,CA,62.456,-114.3525,-13.0,-13.0,90,78,6.17,1614968048
Upernavik,GL,72.7868,-56.1549,-25.39,-25.39,37,83,7.93,1614968049
Ouango,CF,4.3133,22.5552,29.5,29.5,41,17,1.23,1614968049
Inndyr,NO,67.0338,14.0276,-0.05,1.0,75,80,5.14,1614968051
Hilo,US,19.7297,-155.09,18.09,20.0,90,77,2.57,1614968053
Makat,KZ,47.6469,53.3463,0.7,0.7,25,92,7.66,1614968053
Cayenne,GF,4.9333,-52.3333,26.7,27.22,90,83,3.6,1614968053
Truth or Consequences,US,33.1284,-107.2528,14.26,15.0,1,23,6.69,1614968054
Beringovskiy,RU,63.05,179.3167,-27.03,-27.03,100,86,1.87,1614967941
Rosarito,MX,32.3333,-117.0333,18.0,19.0,20,55,4.12,1614968046
Umluj,SA,25.0213,37.2685,22.44,22.44,0,39,9.25,1614968055
Chokurdakh,RU,70.6333,147.9167,-22.64,-22.64,100,90,8.36,1614968055
Albany,US,42.6001,-73.9662,-2.39,-1.67,71,24,0.45,1614968056
Margate,GB,51.3813,1.3862,5.07,5.56,52,60,1.79,1614968058
Bathsheba,BB,13.2167,-59.5167,29.0,29.0,40,58,7.72,1614968059
Nantucket,US,41.2835,-70.0995,0.04,1.0,1,32,6.17,1614968060
Fairbanks,US,64.8378,-147.7164,-18.6,-16.67,75,84,0.49,1614968004
Nobeoka,JP,32.5833,131.6667,11.11,11.11,100,88,2.72,1614968062
Khani,GE,41.9563,42.9566,4.0,4.0,0,75,1.03,1614968063
Snyder,US,32.7179,-100.9176,15.0,15.0,40,47,10.8,1614967899
Watertown,US,42.3709,-71.1828,-0.76,0.0,1,22,6.69,1614967920
Zyryanka,RU,65.75,150.85,-24.97,-24.97,100,86,13.65,1614968064
Nadadores,MX,27.05,-101.6,23.72,24.44,20,43,6.17,1614968065
Saint Paul Harbor,US,57.79,-152.4072,1.0,1.0,90,80,2.06,1614968065
