citylist,country,lat,lon,temp,temp_max,cloudiness,humidity,windspeed,date
Lebu,CL,-37.6167,-73.65,17.99,17.99,1,73,4.52,1614967499
Dunedin,NZ,-45.8742,170.5036,9.96,9.96,97,81,2.14,1614967500
Rikitea,PF,-23.1203,-134.9692,26.73,26.73,3,80,4.13,1614968031
Richards Bay,ZA,-28.783,32.0377,23.52,23.52,82,89,4.27,1614967853
Capão da Canoa,BR,-29.7456,-50.0097,26.64,26.64,77,69,6.35,1614968035
Kaitangata,NZ,-46.2817,169.8464,7.96,7.96,91,91,2.59,1614968036
Port Moresby,PG,-9.4431,147.1797,24.0,24.0,40,94,2.57,1614968036
Ushuaia,AR,-54.8,-68.3,15.0,15.0,40,44,6.69,1614968037
Jaciara,BR,-15.9653,-54.9683,28.01,28.01,90,83,2.99,1614968037
Port Elizabeth,ZA,-33.918,25.5701,19.0,19.0,0,88,1.54,1614967931
Busselton,AU,-33.65,115.3333,18.54,18.89,37,98,2.88,1614968039
Cidreira,BR,-30.1811,-50.2056,25.32,25.32,95,81,5.73,1614968040
Cape Town,ZA,-33.9258,18.4232,20.6,22.78,0,77,7.2,1614967842
Mar del Plata,AR,-38.0023,-57.5575,18.34,19.0,75,59,5.66,1614967744
Mataura,NZ,-46.1927,168.8643,6.67,6.67,75,84,1.25,1614968042
Hobart,AU,-42.8794,147.3294,12.0,12.0,90,62,4.63,1614967944
Punta Arenas,CL,-53.15,-70.9167,16.83,17.0,0,42,9.26,1614968043
Hithadhoo,MV,-0.6,73.0833,28.86,28.86,10,65,2.96,1614968044
Port Alfred,ZA,-33.5906,26.891,20.0,20.0,3,90,4.91,1614968046
Puerto Ayora,EC,-0.7393,-90.3518,28.59,29.0,20,79,5.14,1614968047
Sorong,ID,-0.8833,131.25,26.65,26.65,100,81,3.67,1614968048
Atuona,PF,-9.8,-139.0333,26.22,26.22,91,75,6.79,1614968050
Amahai,ID,-3.3333,128.9167,25.56,25.56,99,80,2.52,1614968051
Airai,TL,-8.9266,125.4092,15.59,15.59,15,100,0.13,1614968052
Mweka,CD,-4.85,21.5667,26.55,26.55,79,61,0.35,1614968052
Carnarvon,AU,-24.8667,113.6333,24.0,24.0,0,94,6.17,1614967877
Ancud,CL,-41.8697,-73.8203,24.21,25.0,0,31,3.09,1614968057
Ambovombe,MG,-25.1667,46.0833,24.76,24.76,4,86,3.77,1614968057
Alofi,NU,-19.0595,-169.9187,23.0,23.0,100,100,1.03,1614968060
Hervey Bay,AU,-25.2986,152.8535,20.56,20.56,2,84,3.79,1614968060
Vaini,TO,-21.2,-175.2,25.0,25.0,75,100,2.06,1614968063
Hermanus,ZA,-34.4187,19.2345,21.11,21.11,0,74,2.68,1614968066
Howard Springs,AU,-12.497,131.047,27.26,28.0,40,83,3.09,1614968066
East London,ZA,-33.0153,27.9116,20.0,20.0,0,83,2.06,1614968068
Beira,MZ,-19.8436,34.8389,27.39,27.78,20,89,3.09,1614968070
Bluff,NZ,-46.6,168.3333,6.67,6.67,60,84,6.46,1614968072
Paciran,ID,-6.8767,112.3761,26.26,26.26,100,82,3.1,1614968077
Liwale,TZ,-9.7667,37.9333,22.8,22.8,98,92,0.76,1614968078
Saldanha,ZA,-33.0117,17.9442,23.0,23.0,0,46,2.06,1614968080
Machalí,CL,-34.1833,-70.6667,25.0,25.0,7,53,4.12,1614968085
Quatre Cocos,MU,-20.2078,57.7625,25.0,25.0,20,83,3.09,1614968086
Esperance,AU,-33.8667,121.9,19.0,19.0,90,100,3.09,1614968087
Luebo,CD,-5.35,21.4167,26.57,26.57,68,68,1.09,1614968088
Tuatapere,NZ,-46.1333,167.6833,6.67,6.67,97,85,3.47,1614968089
Cabedelo,BR,-6.9811,-34.8339,29.0,29.0,75,74,6.17,1614968090
Kalemie,CD,-5.9475,29.1947,23.2,23.2,82,83,2.62,1614968090
Departamento de Maldonado,UY,-34.6667,-54.9167,22.62,23.0,75,56,8.23,1614968093
Ilhabela,BR,-23.7781,-45.3581,29.56,29.56,69,61,1.06,1614968093
Honiara,SB,-9.4333,159.95,25.72,25.72,99,83,1.39,1614968094
Beloha,MG,-25.1667,45.05,23.96,23.96,10,87,3.04,1614968095
Simpang,ID,-1.2667,104.0833,24.2,24.2,93,96,0.8,1614968096
New Norfolk,AU,-42.7826,147.0587,12.0,12.0,90,62,4.63,1614968097
Avarua,CK,-21.2078,-159.775,25.0,25.0,40,100,1.03,1614968098
Kieta,PG,-6.2167,155.6333,26.44,26.44,98,81,2.87,1614968098
Kavieng,PG,-2.5744,150.7967,28.13,28.13,96,77,4.04,1614968099
Nhulunbuy,AU,-12.2333,136.7667,28.0,28.0,75,89,3.6,1614968102
Thabazimbi,ZA,-24.5917,27.4116,24.37,24.37,57,44,0.91,1614968103
San Isidro,PE,-12.1167,-77.05,27.0,27.0,0,61,6.17,1614968104
Banjar,ID,-8.19,114.9675,26.0,26.0,20,89,1.03,1614968107
Bambanglipuro,ID,-7.95,110.2833,25.3,25.3,88,81,1.17,1614968108
Henties Bay,NA,-22.116,14.2845,22.2,22.2,0,59,4.94,1614968109
Bredasdorp,ZA,-34.5322,20.0403,20.0,20.0,0,83,4.12,1614968112
Alice Springs,AU,-23.7,133.8833,19.0,19.0,1,20,1.54,1614968153
Soe,ID,-9.8607,124.284,18.55,18.55,25,100,1.18,1614968154
São João da Barra,BR,-21.6403,-41.0511,34.0,34.0,0,40,4.12,1614968154
Bengkulu,ID,-3.8004,102.2655,25.02,25.02,100,88,1.76,1614968155
Mount Gambier,AU,-37.8333,140.7667,12.0,12.0,90,71,6.17,1614968157
Firminópolis,BR,-16.5819,-50.305,24.8,24.8,84,84,3.99,1614968159
Vila Velha,BR,-20.3297,-40.2925,30.36,31.11,0,62,9.26,1614967965
Matadi,CD,-5.8167,13.45,27.1,27.1,63,79,1.16,1614968164
Chui,UY,-33.6971,-53.4616,23.79,23.79,3,71,6.96,1614968167
