citylist,country,lat,lon,temp,temp_max,cloudiness,humidity,windspeed,date
Cape Town,ZA,-33.9258,18.4232,20.6,22.78,0,77,7.2,1614967842
Carnarvon,AU,-24.8667,113.6333,24.0,24.0,0,94,6.17,1614967877
Umluj,SA,25.0213,37.2685,22.44,22.44,0,39,9.25,1614968055
Ancud,CL,-41.8697,-73.8203,24.21,25.0,0,31,3.09,1614968057
Hermanus,ZA,-34.4187,19.2345,21.11,21.11,0,74,2.68,1614968066
East London,ZA,-33.0153,27.9116,20.0,20.0,0,83,2.06,1614968068
Rach Gia,VN,10.0167,105.0833,24.0,24.0,0,100,2.53,1614968073
Saldanha,ZA,-33.0117,17.9442,23.0,23.0,0,46,2.06,1614968080
Qena,EG,26.1615,32.7183,21.0,21.0,0,30,1.03,1614968080
Guerrero Negro,MX,27.9769,-114.0611,21.19,21.19,0,28,2.55,1614968082
Mongo,TD,12.1844,18.692999999999998,29.5,29.5,0,13,3.54,1614968083
Nouadhibou,MR,20.930999999999997,-17.0347,21.0,21.0,0,64,9.77,1614968088
Khanpur,PK,28.6453,70.6567,21.01,21.01,0,22,1.89,1614968091
Adrar,MR,20.5022,-10.0711,29.23,29.23,0,12,1.87,1614968101
San Isidro,PE,-12.1167,-77.05,27.0,27.0,0,61,6.17,1614968104
Henties Bay,,-22.116,14.2845,22.2,22.2,0,59,4.94,1614968109
Bredasdorp,ZA,-34.5322,20.0403,20.0,20.0,0,83,4.12,1614968112
Bitkine,TD,11.9801,18.2138,29.38,29.38,0,13,3.64,1614968158
Phan Thiet,VN,10.9333,108.1,21.47,21.47,0,83,3.37,1614968160
Vredendal,ZA,-31.6683,18.5012,19.36,19.36,0,61,3.73,1614968176
Verāval,IN,20.9,70.3667,25.02,25.02,0,66,3.34,1614968177
Rāzole,IN,16.4833,81.8333,20.75,20.75,0,83,0.57,1614968186
Port Blair,IN,11.6667,92.75,27.08,27.08,0,82,4.04,1614968114
Soyung,PH,16.7001,121.6655,20.68,20.68,0,92,0.52,1614968197
Pīpri,IN,19.8,75.5333,23.0,23.0,0,40,1.03,1614968201
Bilma,NE,18.6853,12.9164,25.24,25.24,0,15,4.02,1614968207
Lüderitz,,-26.6481,15.1594,22.32,22.32,0,48,6.81,1614968218
Rewāri,IN,28.1833,76.6167,20.0,20.0,0,60,3.09,1614968220
Coyhaique,CL,-45.5752,-72.0662,27.0,27.0,0,17,2.06,1614968222
Salalah,OM,17.0151,54.0924,26.0,26.0,0,57,1.54,1614968227
Sinazongwe,ZM,-17.2614,27.4618,25.4,25.4,0,60,1.6,1614968235
Sawākin,SD,19.1059,37.3321,22.81,22.81,0,62,5.57,1614968279
Pisco,PE,-13.7,-76.2167,26.37,27.0,0,74,4.63,1614968283
Ritchie,ZA,-29.038,24.6028,23.0,23.0,0,28,3.6,1614968284
Dalbandin,PK,28.8947,64.4101,22.3,22.3,0,21,1.4,1614968294
Narasannapeta,IN,18.4167,84.05,22.84,22.84,0,78,2.86,1614968303
Sakīt,IN,27.45,78.8167,21.04,21.04,0,22,4.47,1614968316
Gariāband,IN,20.635,82.0614,24.0,24.0,0,35,2.57,1614968325
Najrān,SA,17.4924,44.1277,25.0,25.0,0,25,6.17,1614968331
