citylist,country,lat,lon,temp,temp_max,cloudiness,humidity,windspeed,date
Lebu,CL,-37.6167,-73.65,17.99,17.99,1,73,4.52,1614967499
Jamestown,US,42.097,-79.2353,-3.1,-2.78,90,91,8.32,1614967499
Barrow,US,71.2906,-156.7887,-23.0,-23.0,90,64,9.77,1614967500
Dunedin,NZ,-45.8742,170.5036,9.96,9.96,97,81,2.14,1614967500
Tasiilaq,GL,65.6145,-37.6368,4.0,4.0,75,81,5.66,1614968031
Rikitea,PF,-23.1203,-134.9692,26.73,26.73,3,80,4.13,1614968031
Navalcarnero,ES,40.2891,-4.012,13.95,15.0,20,54,2.84,1614968032
Raudeberg,NO,61.9875,5.1352,3.89,3.89,100,94,6.34,1614968032
Richards Bay,ZA,-28.783,32.0377,23.52,23.52,82,89,4.27,1614967853
Kapaa,US,22.0752,-159.319,21.06,21.11,90,78,10.8,1614968033
Novoagansk,RU,61.9449,76.6625,-10.2,-10.2,91,97,2.13,1614968033
Berlevåg,NO,70.8578,29.0864,-7.49,-6.0,20,73,5.66,1614968034
Ilulissat,GL,69.2167,-51.1,-6.0,-6.0,75,86,3.09,1614968034
Capão da Canoa,BR,-29.7456,-50.0097,26.64,26.64,77,69,6.35,1614968035
Jiuquan,CN,39.7432,98.5174,0.77,0.77,50,79,0.69,1614968035
Kaitangata,NZ,-46.2817,169.8464,7.96,7.96,91,91,2.59,1614968036
Ulaangom,MN,49.9811,92.0667,-15.49,-15.49,20,84,0.28,1614967929
Bone,DE,51.9669,12.1396,1.88,2.78,12,59,2.04,1614968036
Port Moresby,PG,-9.4431,147.1797,24.0,24.0,40,94,2.57,1614968036
Ushuaia,AR,-54.8,-68.3,15.0,15.0,40,44,6.69,1614968037
Jaciara,BR,-15.9653,-54.9683,28.01,28.01,90,83,2.99,1614968037
Thompson,CA,55.7435,-97.8558,-9.0,-9.0,90,79,3.6,1614967446
Port Elizabeth,ZA,-33.918,25.5701,19.0,19.0,0,88,1.54,1614967931
Portland,US,45.5234,-122.6762,8.21,9.44,90,81,4.63,1614967553
Ribeira Grande,PT,38.5167,-28.7,16.0,16.0,20,72,2.57,1614968039
Saskylakh,RU,71.9167,114.0833,-34.44,-34.44,0,83,3.64,1614968039
Busselton,AU,-33.65,115.3333,18.54,18.89,37,98,2.88,1614968039
Cidreira,BR,-30.1811,-50.2056,25.32,25.32,95,81,5.73,1614968040
Kahului,US,20.8947,-156.47,19.04,21.0,40,68,4.63,1614968041
Cape Town,ZA,-33.9258,18.4232,20.6,22.78,0,77,7.2,1614967842
Mar del Plata,AR,-38.0023,-57.5575,18.34,19.0,75,59,5.66,1614967744
Mataura,NZ,-46.1927,168.8643,6.67,6.67,75,84,1.25,1614968042
Ingham,US,42.6,-84.3833,2.34,3.0,40,52,4.63,1614968042
Hobart,AU,-42.8794,147.3294,12.0,12.0,90,62,4.63,1614967944
Punta Arenas,CL,-53.15,-70.9167,16.83,17.0,0,42,9.26,1614968043
Ternate,ID,0.8,127.4,26.98,26.98,94,75,2.14,1614968044
Mountain Home,US,43.133,-115.6912,13.0,13.0,1,33,10.8,1614968044
Ostrovnoy,RU,68.0531,39.5131,-11.26,-11.26,100,93,1.55,1614968044
Hithadhoo,MV,-0.6,73.0833,28.86,28.86,10,65,2.96,1614968044
Narsaq,GL,60.9167,-46.05,2.0,2.0,20,87,3.6,1614968045
Camacha,PT,33.0833,-16.3333,17.0,17.0,20,63,10.8,1614968045
Kloulklubed,PW,7.0419,134.2556,25.0,25.0,75,83,2.06,1614968045
Port Alfred,ZA,-33.5906,26.891,20.0,20.0,3,90,4.91,1614968046
Puerto Ayora,EC,-0.7393,-90.3518,28.59,29.0,20,79,5.14,1614968047
Sorong,ID,-0.8833,131.25,26.65,26.65,100,81,3.67,1614968048
Yellowknife,CA,62.456,-114.3525,-13.0,-13.0,90,78,6.17,1614968048
Upernavik,GL,72.7868,-56.1549,-25.39,-25.39,37,83,7.93,1614968049
Ouango,CF,4.3133,22.5552,29.5,29.5,41,17,1.23,1614968049
Atuona,PF,-9.8,-139.0333,26.22,26.22,91,75,6.79,1614968050
Inndyr,NO,67.0338,14.0276,-0.05,1.0,75,80,5.14,1614968051
Amahai,ID,-3.3333,128.9167,25.56,25.56,99,80,2.52,1614968051
Airai,TL,-8.9266,125.4092,15.59,15.59,15,100,0.13,1614968052
Mweka,CD,-4.85,21.5667,26.55,26.55,79,61,0.35,1614968052
Hilo,US,19.7297,-155.09,18.09,20.0,90,77,2.57,1614968053
Makat,KZ,47.6469,53.3463,0.7,0.7,25,92,7.66,1614968053
Carnarvon,AU,-24.8667,113.6333,24.0,24.0,0,94,6.17,1614967877
Cayenne,GF,4.9333,-52.3333,26.7,27.22,90,83,3.6,1614968053
Truth or Consequences,US,33.1284,-107.2528,14.26,15.0,1,23,6.69,1614968054
Beringovskiy,RU,63.05,179.3167,-27.03,-27.03,100,86,1.87,1614967941
Rosarito,MX,32.3333,-117.0333,18.0,19.0,20,55,4.12,1614968046
Umluj,SA,25.0213,37.2685,22.44,22.44,0,39,9.25,1614968055
Chokurdakh,RU,70.6333,147.9167,-22.64,-22.64,100,90,8.36,1614968055
Albany,US,42.6001,-73.9662,-2.39,-1.67,71,24,0.45,1614968056
Ancud,CL,-41.8697,-73.8203,24.21,25.0,0,31,3.09,1614968057
Ambovombe,MG,-25.1667,46.0833,24.76,24.76,4,86,3.77,1614968057
Margate,GB,51.3813,1.3862,5.07,5.56,52,60,1.79,1614968058
Bathsheba,BB,13.2167,-59.5167,29.0,29.0,40,58,7.72,1614968059
Alofi,NU,-19.0595,-169.9187,23.0,23.0,100,100,1.03,1614968060
Hervey Bay,AU,-25.2986,152.8535,20.56,20.56,2,84,3.79,1614968060
Nantucket,US,41.2835,-70.0995,0.04,1.0,1,32,6.17,1614968060
Fairbanks,US,64.8378,-147.7164,-18.6,-16.67,75,84,0.49,1614968004
Nobeoka,JP,32.5833,131.6667,11.11,11.11,100,88,2.72,1614968062
Vaini,TO,-21.2,-175.2,25.0,25.0,75,100,2.06,1614968063
Khani,GE,41.9563,42.9566,4.0,4.0,0,75,1.03,1614968063
Snyder,US,32.7179,-100.9176,15.0,15.0,40,47,10.8,1614967899
Watertown,US,42.3709,-71.1828,-0.76,0.0,1,22,6.69,1614967920
Zyryanka,RU,65.75,150.85,-24.97,-24.97,100,86,13.65,1614968064
Nadadores,MX,27.05,-101.6,23.72,24.44,20,43,6.17,1614968065
Saint Paul Harbor,US,57.79,-152.4072,1.0,1.0,90,80,2.06,1614968065
Klaksvík,FO,62.2266,-6.589,5.0,5.0,75,75,4.63,1614968065
Hermanus,ZA,-34.4187,19.2345,21.11,21.11,0,74,2.68,1614968066
Hegang,CN,47.4,130.3667,-21.52,-21.52,9,87,3.16,1614968066
Howard Springs,AU,-12.497,131.047,27.26,28.0,40,83,3.09,1614968066
Tuktoyaktuk,CA,69.4541,-133.0374,-19.0,-19.0,75,78,5.66,1614968067
Ranong,TH,9.9658,98.6348,23.91,23.91,18,84,1.96,1614968067
East London,ZA,-33.0153,27.9116,20.0,20.0,0,83,2.06,1614968068
Nikolskoye,RU,59.7035,30.7861,-4.87,-4.0,75,68,5.0,1614968069
Ponta do Sol,PT,32.6667,-17.1,13.13,15.56,38,54,3.13,1614968069
Butaritari,KI,3.0707,172.7902,27.01,27.01,93,76,7.69,1614968069
Tavda,RU,58.0425,65.2726,-8.29,-8.29,90,96,2.95,1614968069
Hay River,CA,60.8156,-115.7999,-5.49,-4.0,75,68,5.14,1614968070
Beira,MZ,-19.8436,34.8389,27.39,27.78,20,89,3.09,1614968070
Gornopravdinsk,RU,60.05,69.9,-8.85,-8.85,100,97,1.57,1614968071
Bintulu,MY,3.1667,113.0333,23.94,24.0,40,94,2.06,1614968071
Nome,US,64.5011,-165.4064,-12.22,-12.22,90,95,4.74,1614968072
Aligoodarz,IR,33.4006,49.6949,3.19,3.19,0,74,2.91,1614968072
Bluff,NZ,-46.6,168.3333,6.67,6.67,60,84,6.46,1614968072
Avera,US,33.194,-82.5271,16.74,18.0,1,25,4.12,1614968073
Rach Gia,VN,10.0167,105.0833,24.0,24.0,0,100,2.53,1614968073
Gravdal,NO,68.1214,13.5031,0.0,0.0,90,100,0.51,1614968074
Shihezi,CN,44.3,86.0333,-3.23,-3.23,84,94,0.9,1614968074
Djibo,BF,14.1022,-1.6306,32.07,32.07,0,12,2.15,1614968074
Lavrentiya,RU,65.5833,-171.0,-17.79,-17.79,72,92,3.52,1614967942
Bonavista,CA,48.6499,-53.1147,1.0,1.0,79,75,3.09,1614968075
Sitka,US,57.0531,-135.33,6.0,6.0,90,61,8.23,1614968076
Lata,PT,40.1629,-8.3327,15.37,16.11,77,74,2.24,1614968076
Paciran,ID,-6.8767,112.3761,26.26,26.26,100,82,3.1,1614968077
Coahuayana Viejo,MX,18.7333,-103.6833,29.0,29.0,1,37,3.01,1614968077
Tiksi,RU,71.6872,128.8694,-31.89,-31.89,61,86,1.82,1614968078
Liwale,TZ,-9.7667,37.9333,22.8,22.8,98,92,0.76,1614968078
